Instance ID,Skeletal code,Co-authors associated with analyzing this sample,Skeletal element,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)","Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]","Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990�40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Confidence of archaeological and chronological contextualization for the genetic data for this individual,"Group ID (the suffix ""_lc"" indicates fewer than 15000 SNPs covered on the 1240k target set)",Included in population genetic analysis (also indicated if included in Figure 3),Locality,Excavation reference if available,Country or Region,Latitude,Longitude,Data type,Number of Libraries,Average coverage on autosomal targets,SNPs hit on autosomal targets,Genetic Sex,Family ID and position within family,Sum total of ROH segments >4cM from hapROH,Sum total of ROH segments >20cM from hapROH,Y chromosome haplogroup (called only for males with 1240K data and only if >50000 autosomal SNPs hit), mtDNA coverage ,mtDNA haplogroup only called if >2x coverage,mtDNA match to consensus if >2x coverage,Damage rate in first nucleotide on sequences overlapping 1240k targets for samples processed at Harvard; C->T_CpG_5 for samples processed in China,Xcontam ANGSD SNPs (only if male),Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and  SNPs > 200),ContamLD contamination 95% CI (Ccorrecting bias with damage-restricted sequences and only reported for samples covered by at least 100000 autosomal SNPs),Library type,LibraryID(s), Percent human sequences by library (computed on shotgun data) ,Qualitative assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I1206,"Popov59, Cemetery 1, Burial 1","Popov, Alexander; Kim, Alexander; Tabarev, Andrei;  Nikitin, Yuri",tooth,Direct: IntCal20,6954,108,"5211-4803 calBCE (6080�70 BP, TERRA-b06129705)",Confident - The genetic data clusters this individual with others from the Boisman cemetery as well as previously published Amur River Basin Neolithic individuals from the Devil's Gate site. The direct 14C date on this individual is consistent with other dates from the Boisman cemetery.,Russia_MN_Boisman,Yes,"Primorsky Krai, Boisman-2.Excavations: Popov and Krupyanko, 1991-1992.Publication: Popov, 1997",..,Russia,42.78944444,131.2761111,1240K capture,1,0.584,445168,F,"Russia, Primorsky Krai, Boisman-2 Family B (2 members) I1206-I1192 have a first deg relation ",130,52,n/a (female), 245 ,R,"[0.984,0.994]",0.062,n/a (female),n/a (female),"[0,0.045]",ds.UDG.half,S1206.E1.L1, 0.0602 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I1192,"Popov7, Cemetery 1, Burial 5","Popov, Alexander; Kim, Alexander; Tabarev, Andrei;  Nikitin, Yuri",tooth,Direct: IntCal20,6711,77,"4935-4605 calBCE (5890�60 BP, TERRA-b06129733)",Confident - The genetic data clusters this individual with others from the Boisman cemetery as well as previously published Amur River Basin Neolithic individuals from the Devil's Gate site. The direct 14C date on this individual is consistent with other dates from the Boisman cemetery. They are also genetically dected as a first-degree relative of another directly dated individual from the same site with a consistent date.,Russia_MN_Boisman_1d.rel.I1206,No (first degree relative of another higher coverage individual in the dataset),"Primorsky Krai, Boisman-2. Excavations: Popov and Krupyanko, 1991-1992.Publication: Popov, 1997",..,Russia,42.78944444,131.2761111,1240K capture,4,0.225216,230282,M,"Russia, Primorsky Krai, Boisman-2 Family B (2 members) I1206-I1192 have a first deg relation ",n/a (too few SNPs),n/a (too few SNPs),C2a1-F3914, .. ,B4d1'2'3,..,..,..,"[0.000,0.069]","[0,0.058]","ds.UDG.half,ds.UDG.half,ds.UDG.half,ds.UDG.half","S1192.E1.L5,S1192.E1.L2,S1192.E1.L4,S1192.E1.L3"," 0.00860,0.00670,0.00820,0.00960 ",PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I14307,Popov_19: Boysmana-II; Cemetery-2; Burial-3/2,"Popov, Alexander; Kim, Alexander; Tabarev, Andrei;  Nikitin, Yuri",tooth,Context: 1d relationship with directly dated I14308,6725,72,4900-4650 BCE,Confident - The genetic data clusters this individual with others from the Boisman cemetery as well as previously published Amur River Basin Neolithic individuals from the Devil's Gate site. ,Russia_MN_Boisman_1d.rel.I14308,No (first degree relative of another higher coverage individual in the dataset),"Primorsky Krai, Boisman-2. Excavations: Popov, 1998-1999.Publication: Popov, 2008",..,Russia,42.78944444,131.2761111,1240K capture,1,0.055195,63153,F,"Russia, Primorsky Krai, Boisman-2 Family C (2 members) I14307-I14308 have a first deg relation ",n/a (too few SNPs),n/a (too few SNPs),n/a (female), 79 ,D4o2a,"[0.995,1.000]",0.066,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.UDG.half,S14307.Y1.E1.L1, 0.0048 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I14308,Popov_17: Boysmana-II; Cemetery-2; Burial-3/?,"Popov, Alexander; Kim, Alexander; Tabarev, Andrei;  Nikitin, Yuri",tooth,Direct: IntCal20,6714,37,"4841-4706 calBCE (5895�30 BP, PSUAMS-8302)",Confident - The genetic data clusters this individual with others from the Boisman cemetery as well as previously published Amur River Basin Neolithic individuals from the Devil's Gate site. ,Russia_MN_Boisman,"No (the lower bound of the X chromosome contamination rate is >0.01 [0.013,0.052] and we are not certain the sample is uncontaminated from other metrics which allow up to 4.2% contamation in contamLD after damage correction [0,0.042]; while the mtDNA contamination estimate is unconcerning the direct estimates on nuclear data are more relevant to nuclear analysis)","Primorsky Krai, Boisman-2. Excavations: Popov, 1998-1999.Publication: Popov, 2008",..,Russia,42.78944444,131.2761111,1240K capture,1,0.448223,410334,M,"Russia, Primorsky Krai, Boisman-2 Family C (2 members) I14307-I14308 have a first deg relation ",64,0,C2a-F3776, 198 ,D4o2a,"[0.988,0.998]",0.067,450,"[0.013,0.052]","[0,0.042]",ds.UDG.half,S14308.Y1.E1.L1, 0.0804 ,"QUESTIONABLE (the lower bound of the X chromosome contamination rate is >0.01 [0.013,0.052] and we are not certain the sample is uncontaminated from other metrics which allow up to 4.2% contamation in contamLD after damage correction [0,0.042]; while the mtDNA contamination estimate at [0.988,0.998] is excellent but the direct estimates on nuclear data are more relevant to nuclear analysis)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13721,GG-107-M1-03,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",petrous,Direct: IntCal20,3169,48,"1366-1126 calBCE (2990�20 BP, PSUAMS-7614)",Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Gongguan,Yes,"Green Island, Gongguan site","Yi-Chang Liu, Minyong Qiu. 1995. Institute of History and Philology, Academia Sinica.",Taiwan,22.675,121.49,1240K capture,1,1.816535,699033,F,n/a (no relatives detected),85,0,n/a (female), 144 ,Y2a1,"[0.968,0.988]",0.248,n/a (female),n/a (female),"[0,0.009]",ds.UDG.half,S13721.Y1.E1.L1, 0.1151 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I3620,M75- L2,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",petrous,Direct: IntCal20,1857,36,"22-201 calCE (1935�20 BP, PSUAMS-7936)",Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben,Yes,"Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,4.265102,929280,F,n/a (no relatives detected),61,0,n/a (female), 286 ,R,"[0.986,0.994]",0.16,n/a (female),n/a (female),"[0,0.009]",ds.UDG.half,S3620.E1.L2, 0.5663 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I3615,M46,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",petrous,Direct: IntCal20,1833,41,"32-206 calCE (1920�20 BP, PSUAMS-7910)",Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben,Yes,"Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,3.642855,920962,F,n/a (no relatives detected),50,20,n/a (female), 145 ,R,"[0.977,0.992]",0.177,n/a (female),n/a (female),"[0,0.005]",ds.UDG.half,S3615.E1.L2, 0.3207 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I3617,M49,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",petrous,Direct: IntCal20,1644,35,"246-365 calCE (1745�15 BP, PSUAMS-7948)",Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben,Yes,"Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,3.943752,943627,F,n/a (no relatives detected),60,0,n/a (female), 258 ,F4b1,"[0.985,0.994]",0.141,n/a (female),n/a (female),"[0,0.008]",ds.UDG.half,S3617.E1.L2, 0.2452 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I3616,M48,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",petrous,Direct: IntCal20,1641,38,"245-378 calCE (1745�20 BP, PSUAMS-7911)",Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben,Yes,"Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,2,1.780217,792640,F,n/a (no relatives detected),439,316,n/a (female), .. ,B4b1a2,..,..,n/a (female),n/a (female),"[0,0.011]","ds.UDG.half,ds.UDG.half","S3616.E1.L2,S3616.E1.L3"," 0.05290,0.05770 ",PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I3621,M77- L0,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",petrous,Direct: IntCal20,1595,45,"258-413 calCE (1700�20 BP, PSUAMS-7912)",Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben,Yes,"Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,5.755752,965636,F,n/a (no relatives detected),12,0,n/a (female), 311 ,R9c1b2,"[0.990,0.998]",0.127,n/a (female),n/a (female),"[0,0]",ds.UDG.half,S3621.E1.L2, 0.6966 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I13694,M187,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",tooth,"Context: Date(s) from same site (I3611, I3615, I3620, I3620, I3732, I8081, I13695, I8075, I3619, I3728, I3735, I3621, I3616, I3617)",1550,231,1-800 CE,Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben_lc,No (low coverage),"Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,0.009528,11199,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female), 7.2 ,B4a1a,"[0.919,0.990]",0.223,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.UDG.half,S13694.E1.L1, 0.0005 ,PASS (low coverage at n=11199 SNPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I15166,M212,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",tooth,"Context: Date(s) from same site (I3611, I3615, I3620, I3620, I3732, I8081, I13695, I8075, I3619, I3728, I3735, I3621, I3616, I3617)",1550,231,1-800 CE,Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben_lc,No (low coverage),"Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,0.010442,12147,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female), 6.4 ,E1a1a,"[0.906,0.981]",0.184,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.UDG.half,S15166.Y1.E1.L1, 0.0004 ,PASS (low coverage at n=12147 SNPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I14927,M86-2,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",tooth,"Context: Date(s) from same site (I3611, I3615, I3620, I3620, I3732, I8081, I13695, I8075, I3619, I3728, I3735, I3621, I3616, I3617)",1550,231,1-800 CE,Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben_lc,No (low coverage),"Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,0.011159,13057,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female), 15 ,M7b1a2a1,"[0.982,0.999]",0.159,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ss.UDG.half,S14927.Y1.E1.L1, 0.0025 ,PASS (low coverage at n=13057 SNPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I14928,M87-2,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",tooth,"Context: Date(s) from same site (I3611, I3615, I3620, I3620, I3732, I8081, I13695, I8075, I3619, I3728, I3735, I3621, I3616, I3617)",1550,231,1-800 CE,Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben_lc,No (low coverage),"Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,0.006229,7296,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female), 28 ,B5a2a1+16129,"[0.982,0.998]",0.163,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ss.UDG.half,S14928.Y1.E1.L1, 0.0021 ,PASS (low coverage at n=7296 SNPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I14926,M86-1,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",tooth,"Context: Date(s) from same site (I3611, I3615, I3620, I3620, I3732, I8081, I13695, I8075, I3619, I3728, I3735, I3621, I3616, I3617)",1550,231,1-800 CE,Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben_lc,No (low coverage),"Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,0.006369,7454,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female), 27 ,F4b1,"[0.994,1.000]",0.176,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ss.UDG.half,S14926.Y1.E1.L1, 0.0054 ,PASS (low coverage at n=7454 SNPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I8071,M160- L2,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",bone,"Context: Date(s) from same site (I3611, I3615, I3620, I3620, I3732, I8081, I13695, I8075, I3619, I3728, I3735, I3621, I3616, I3617)",1550,231,1-800 CE,Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben,No (the ratio of Y to X+Y sequences is 0.036 which is within the range of 0.03-0.35 that is suggestive of contamination from an individual of the opposite sex),"Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,0.025242,29316,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female), 35 ,R,"[0.990,1.000]",0.102,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.UDG.half,S8071.E1.L1, 0.0112 ,QUESTIONABLE (the ratio of Y to X+Y sequences is 0.036 which is within the range of 0.03-0.35 that is suggestive of contamination from an individual of the opposite sex),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I14930,M93-1,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",tooth,"Context: Date(s) from same site (I3611, I3615, I3620, I3620, I3732, I8081, I13695, I8075, I3619, I3728, I3735, I3621, I3616, I3617)",1550,231,1-800 CE,Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben_lc,"No (the ratio of Y to X+Y sequences is 0.042 which is within the range of 0.03-0.35 that is suggestive of contamination from an individual of the opposite sex, and low coverage)","Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,0.004993,5889,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female), 37 ,E1a1a1,"[0.973,0.992]",0.162,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ss.UDG.half,S14930.Y1.E1.L1, 0.0012 ,QUESTIONABLE (low coverage at n=5889 SNPS; the ratio of Y to X+Y sequences is 0.042 which is within the range of 0.03-0.35 that is suggestive of contamination from an individual of the opposite sex),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I15159,M196-1,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",tooth,"Context: Date(s) from same site (I3611, I3615, I3620, I3620, I3732, I8081, I13695, I8075, I3619, I3728, I3735, I3621, I3616, I3617)",1550,231,1-800 CE,Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben,"No (the upper bound of the match rate to the mtDNA consensus is  <0.98 [0.901,0.970])","Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,0.027977,32332,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female), 8.4 ,F4b1,"[0.901,0.970]",0.214,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.UDG.half,S15159.Y1.E1.L1, 0.0023 ,"QUESTIONABLE (the upper bound of the match rate to the mtDNA consensus is  <0.98 [0.901,0.970])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I15160,M198-1,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",tooth,"Context: Date(s) from same site (I3611, I3615, I3620, I3620, I3732, I8081, I13695, I8075, I3619, I3728, I3735, I3621, I3616, I3617)",1550,231,1-800 CE,Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben_lc,"No (the upper bound of the match rate to the mtDNA consensus is <0.98 [0.873,0.975], and low coverage)","Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,0.009348,10862,M,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (<50000 SNPs), 5.1 ,F4b1,"[0.873,0.975]",0.209,3,n/a (<200 SNPs),n/a (<100000 SNPs covered so too low coverage to compute),ds.UDG.half,S15160.Y1.E1.L1, 0.0023 ,"QUESTIONABLE (low coverage at n=10862 SNPS; the upper bound of the match rate to the mtDNA consensus is <0.98 [0.873,0.975])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I14937,M165,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",tooth,"Context: Date(s) from same site (I3611, I3615, I3620, I3620, I3732, I8081, I13695, I8075, I3619, I3728, I3735, I3621, I3616, I3617)",1550,231,1-800 CE,Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben,"No (the upper bound of the match rate to the mtDNA consensus is <0.98 [0.897,0.965])","Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,0.019118,22230,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female), 11 ,B4a1a,"[0.897,0.965]",0.173,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ss.UDG.half,S14937.Y1.E1.L1, 0.0187 ,"QUESTIONABLE (the upper bound of the match rate to the mtDNA consensus is <0.98 [0.897,0.965])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I15162,M200,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",tooth,"Context: Date(s) from same site (I3611, I3615, I3620, I3620, I3732, I8081, I13695, I8075, I3619, I3728, I3735, I3621, I3616, I3617)",1550,231,1-800 CE,Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben_lc,"No (the upper bound of the match rate to the mtDNA consensus is <0.98 [0.897,0.978], and low coverage)","Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,0.008319,9771,M,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (<50000 SNPs), 4.7 ,E1a1a,"[0.897,0.978]",0.255,3,n/a (<200 SNPs),n/a (<100000 SNPs covered so too low coverage to compute),ds.UDG.half,S15162.Y1.E1.L1, 0.0009 ,"QUESTIONABLE (low coverage at n=9771 SNPS; the upper bound of the match rate to the mtDNA consensus is <0.98 [0.897,0.978])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I15164,M208-A,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",tooth,"Context: Date(s) from same site (I3611, I3615, I3620, I3620, I3732, I8081, I13695, I8075, I3619, I3728, I3735, I3621, I3616, I3617)",1550,231,1-800 CE,Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context.,Taiwan_Hanben_lc,"No (the upper bound on the match rate to the consensus sequence is <0.98 [0.875,0.966], and low coverage)","Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,0.007495,8739,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female), 6.0 ,E2a,"[0.875,0.966]",0.228,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.UDG.half,S15164.Y1.E1.L1, 0.0003 ,"QUESTIONABLE (low coverage at n=8739 SNPS, the upper bound on the match rate to the consensus sequence is <0.98 [0.875,0.966])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I3618,M50,"Yeh, Ivy (Hui-Yuan),Liu, Jiun-Yu; Liu, Yi-Chang; Wang, Chuan-Chao",petrous,"Context (WARNING: a direct date on this individual of 1406-1261�calBCE (3060�20 BP, PSUAMS-2268) is inconsistent with multiple adjacent Context: Dates and so�we ignore it pending confirmation by additional attempts to obtain direct dates on the individual): Direct dates on other individuals from same site and context (I3611, I3615, I3620, I3620, I3732, I8081, I13695, I8075, I3619, I3728, I3735, I3621, I3616, I3617)",1550,231,1-800 CE,"Confident - The genetic data clusters this individual with others from the Taiwan Iron Age context. We ignore a newly reported direct date on this individual of 1406-1261�calBCE (3060�20 BP, PSUAMS-2268) which is inconsistent with many dates in the layer, suggesting the possibility of a sample mixup or contamination with old carbon during the dating procedure.",Taiwan_Hanben,Yes,"Hanben, Blihun site","Yi-Chang Liu. 2016. Institute of History and Philology, Academia Sinica.",Taiwan,24.32777778,121.7655556,1240K capture,1,3.769026,939567,M,n/a (no relatives detected),51,0,O2a2b2a2-F706, 381 ,R,"[0.995,1.000]",0.163,6211,"[0.005,0.009]","[0,0.005]",ds.UDG.half,S3618.E1.L2, 0.6349 ,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
